Heat,Name,Year,Average Points per Events
HEAT5,Billy Stairmand,2011,384.44444444444446
HEAT5,João Chianca,2024,212.0
HEAT5,João Chianca,2023,4026.3636363636365
HEAT5,João Chianca,2022,1218.3333333333333
HEAT6,Andy Criere,2023/2024,236.0
HEAT6,Andy Criere,2022/2023,388.4
HEAT6,Andy Criere,2021/2022,520.0
HEAT6,Andy Criere,2021,1787.5
HEAT6,Andy Criere,2020,309.5
HEAT6,Andy Criere,2019,414.54545454545456
HEAT6,Andy Criere,2018,231.07142857142858
HEAT6,Andy Criere,2017,253.66666666666666
HEAT6,Andy Criere,2016,207.64705882352942
HEAT6,Andy Criere,2015,387.0
HEAT6,Andy Criere,2014,90.33333333333333
HEAT6,Andy Criere,2013,27.0
HEAT6,John John Florence,2024,5244.166666666667
HEAT6,John John Florence,2023,3903.5
HEAT6,John John Florence,2022,5335.833333333333
HEAT6,John John Florence,2021,4915.0
HEAT6,John John Florence,2019,6283.333333333333
HEAT6,John John Florence,2018,2159.0
HEAT6,John John Florence,2017,5418.181818181818
HEAT6,John John Florence,2016,5440.909090909091
HEAT6,John John Florence,2015,3188.8888888888887
HEAT6,John John Florence,2014,4672.727272727273
HEAT6,John John Florence,2013,4393.75
HEAT6,John John Florence,2012,4435.0
HEAT6,John John Florence,2011,2390.0
HEAT6,Alan Cleland,2024/2025,912.5
HEAT6,Alan Cleland,2023/2024,1489.4
HEAT6,Alan Cleland,2022/2023,505.85714285714283
HEAT6,Alan Cleland,2021/2022,481.6666666666667
HEAT6,Alan Cleland,2021,1148.0
HEAT6,Alan Cleland,2020,299.4
HEAT6,Alan Cleland,2019,335.625
HEAT6,Alan Cleland,2018,113.57142857142857
HEAT6,Alan Cleland,2017,185.0
HEAT7,Kauli Vaast,2023/2024,1105.75
HEAT7,Kauli Vaast,2022/2023,1273.0
HEAT7,Kauli Vaast,2021/2022,687.0
HEAT7,Kauli Vaast,2021,2216.6666666666665
HEAT7,Kauli Vaast,2020,560.1666666666666
HEAT7,Kauli Vaast,2019,337.77777777777777
HEAT7,Kauli Vaast,2018,382.5
HEAT7,Lucca Mesinas,2024/2025,3000.0
HEAT7,Lucca Mesinas,2023/2024,2406.3333333333335
HEAT7,Lucca Mesinas,2020,1837.5
HEAT7,Lucca Mesinas,2019,286.42857142857144
HEAT7,Lucca Mesinas,2018,376.6666666666667
HEAT7,Lucca Mesinas,2017,211.0
HEAT7,Lucca Mesinas,2016,205.76923076923077
HEAT7,Lucca Mesinas,2015,133.07692307692307
HEAT7,Lucca Mesinas,2014,152.85714285714286
HEAT7,Lucca Mesinas,2013,80.0
HEAT7,Griffin Colapinto,2024,4532.5
HEAT7,Griffin Colapinto,2023,4623.636363636364
HEAT7,Griffin Colapinto,2022,4012.0
HEAT7,Griffin Colapinto,2021,3272.1428571428573
HEAT7,Griffin Colapinto,2019,2745.0
HEAT7,Griffin Colapinto,2018,2115.909090909091
HEAT8,Rio Waida,2024,2955.8333333333335
HEAT8,Rio Waida,2023,2228.0
HEAT8,Rio Waida,2021,3320.0
HEAT8,Rio Waida,2019,1330.0
HEAT8,Leonardo Fioravanti,2024,2246.6666666666665
HEAT8,Leonardo Fioravanti,2023,3798.5
HEAT8,Leonardo Fioravanti,2022,1462.0
HEAT8,Leonardo Fioravanti,2021,2685.714285714286
HEAT8,Leonardo Fioravanti,2019,2065.0
HEAT8,Leonardo Fioravanti,2018,420.0
HEAT8,Leonardo Fioravanti,2017,1700.0
HEAT8,Leonardo Fioravanti,2016,2900.0
HEAT8,Reo Inaba,2023/2024,1072.6666666666667
HEAT8,Reo Inaba,2022/2023,400.0
HEAT8,Reo Inaba,2021/2022,1000.0
HEAT8,Reo Inaba,2020,1500.0
HEAT8,Reo Inaba,2019,814.0
HEAT8,Reo Inaba,2018,443.57142857142856
HEAT8,Reo Inaba,2017,196.1764705882353
HEAT8,Reo Inaba,2016,261.42857142857144
HEAT8,Reo Inaba,2015,139.33333333333334
HEAT8,Reo Inaba,2014,125.8
HEAT8,Reo Inaba,2013,141.4
HEAT8,Reo Inaba,2012,115.75
