last_name,first_name,total
COVELL,Chloe,87.34
NISHIYA,Momiji,242.24
ITO,Miyu,242.14
HEYN,Paige,240.86
MUNOZ,Natalia,223.91
ZHU,Yuanling,220.39
CRIADO,OLIVA,209.77
ZHANG,Yan,199.67
DURAN,Mariah,177.32
SCHOONHEERE,Lucie,61.87
ODA,Yumeka,61.66
OLDENBEUVING,Keet,61.52
LOVELACE,Liv,60.98
TURNER,Felicity,60.47
POWELL,Haylie,59.52
LAN,Junyi,56.59
ZWETSLOOT,Roos,55.66
HYM,Charlotte,54.66
ROSA,Pamela,53.19
CHOROMANSKA,Weronika,52.17
HA,Siye,51.12
LEAL,Rayssa,274.89
AKAMA,Liz,274.35
YOSHIZAWA,Coco,257.73
PINSON,Poe,254.06
CUI,Chenxi,247.44
NAKAYAMA,Funa,165.86
ZENG,Wenhui,164.74
COVELL,Chloe,87.34
NISHIYA,Momiji,242.24
ITO,Miyu,242.14
HEYN,Paige,240.86
MUNOZ,Natalia,223.91
ZHU,Yuanling,220.39
CRIADO,OLIVA,209.77
ZHANG,Yan,199.67
DURAN,Mariah,177.32
SCHOONHEERE,Lucie,61.87
ODA,Yumeka,61.66
OLDENBEUVING,Keet,61.52
LOVELACE,Liv,60.98
TURNER,Felicity,60.47
POWELL,Haylie,59.52
LAN,Junyi,56.59
ZWETSLOOT,Roos,55.66
HYM,Charlotte,54.66
ROSA,Pamela,53.19
CHOROMANSKA,Weronika,52.17
HA,Siye,51.12
SUKASEM,Vareeraya,48.98
ALVAREZ,Jazmin,47.1
GUY,Meagan,42.94
GABRIELA,Marina,37.52
MAZETTO,Gabi,36.29
BERTRAN,Aldana,34.74
ARZUA,Ailin,33.57
AWUAH,Boipelo,27.67
SECOURS,Samantha,24.57
LOUVET,Jeromine,22.3
BRUGGEMAN,Lore,16.4
READY,Jessica,14.72
AVILA,Isabelly,11.32
JACOBS,Candy,10.44
TEROL,Daniela,3.0
SUIARA,Kemily,2.0
last_name,first_name,total
HUSTON,Nyjah,279.43
GIRAUD,Aurelien,275.96
RIBEIRO,Gustavo,261.4
DELL,OLIO,255.4
IGLESIAS,Mauro,255.4
MILOU,Vincent,247.39
DECENZO,Ryan,238.26
HORIGOME,Yuto,169.39
last_name,first_name,total
NAKAYAMA,Funa,264.13
NISHIYA,Momiji,255.64
ODA,Yumeka,254.91
AKAMA,Rizu,254.62
LEAL,Rayssa,247.69
YOSHIZAWA,Coco,242.51
COVELL,Chloe,230.59
ROSA,Pamela,205.8
last_name,first_name,total
CAREW,Tate,93.33
PALMER,Keegan,92.3
EATON,Jagger,91.61
WOOLLEY,Kieran,90.19
BARROS,Pedro,88.96
BOTTGER,Gavin,86.58
AKIO,Augusto,73.04
CINI,Luigi,53.13
last_name,first_name,total
WILSON,Keefer,84.69
EATON,Jagger,84.36
QUINTAS,Pedro,83.84
WOOLLEY,Kieran,83.41
CAREW,Tate,83.32
LEON,Danny,83.28
AKIO,Augusto,83.25
SCHAAR,Tom,83.2
CARVALHO,Pedro,83.04
PALMER,Keegan,82.3
BARROS,Pedro,81.85
BOTTGER,Gavin,81.55
NAGAHARA,Yuro,81.45
CINI,Luigi,78.76
KORTABITARTE,Alain,77.53
SORGENTE,Alex,76.8
WINBERG,Hampus,76.2
SOLMUNDE,Viktor,75.76
EDTMAYER,Tyler,74.48
PINEIRO,Steven,72.78
PERES,Murilo,72.49
MAZZARA,Alessandro,71.99
GONZALEZ,Peio,71.28
BEHAR,Yam,70.56
DAMESTOY,Edouard,69.5
AUGUSTO,Thomas,67.03
NILSEN,Elias,66.01
MARTIN,Tom,65.07
WILSON,Keefer,84.69
EATON,Jagger,84.36
QUINTAS,Pedro,83.84
WOOLLEY,Kieran,83.41
CAREW,Tate,83.32
LEON,Danny,83.28
AKIO,Augusto,83.25
SCHAAR,Tom,83.2
